iter	Passed	Remaining
0	62	312249
1	112	281509
2	163	272974
3	219	274771
4	270	270440
5	312	259956
6	360	257303
7	446	278800
8	496	275278
9	546	272623
10	593	269404
11	638	265430
12	693	266062
13	739	263283
14	786	261465
15	836	260653
16	887	260206
17	939	260060
18	989	259310
19	1032	257138
20	1083	256865
21	1131	256010
22	1178	255099
23	1228	254651
24	1279	254674
25	1330	254529
26	1387	255590
27	1435	254941
28	1485	254678
29	1537	254711
30	1601	256769
31	1649	256032
32	1701	256138
33	1763	257556
34	1805	256093
35	1855	255794
36	1905	255650
37	1960	256009
38	2012	256049
39	2068	256517
40	2113	255629
41	2166	255735
42	2213	255165
43	2266	255323
44	2321	255667
45	2370	255316
46	2417	254779
47	2470	254824
48	2518	254462
49	2567	254173
50	2612	253519
51	2663	253404
52	2712	253215
53	2773	253989
54	2827	254232
55	2876	253938
56	2928	253973
57	2981	254037
58	3033	254059
59	3090	254439
60	3142	254425
61	3195	254532
62	3247	254488
63	3300	254581
64	3350	254406
65	3401	254323
66	3448	253893
67	3498	253774
68	3553	253912
69	3600	253605
70	3648	253263
71	3698	253168
72	3751	253187
73	3805	253334
74	3857	253289
75	3899	252630
76	3958	253111
77	4016	253429
78	4065	253231
79	4114	253011
80	4165	252972
81	4215	252814
82	4264	252648
83	4315	252530
84	4363	252299
85	4414	252216
86	4470	252429
87	4522	252413
88	4571	252259
89	4623	252252
90	4673	252110
91	4722	251917
92	4772	251807
93	4822	251686
94	4875	251707
95	4922	251442
96	4968	251148
97	5017	250970
98	5078	251397
99	5139	251829
100	5186	251575
101	5244	251815
102	5296	251808
103	5342	251504
104	5388	251191
105	5444	251385
106	5497	251394
107	5548	251308
108	5597	251159
109	5647	251052
110	5701	251141
111	5754	251124
112	5805	251059
113	5858	251113
114	5913	251208
115	5965	251180
116	6017	251144
117	6066	250981
118	6114	250799
119	6163	250629
120	6214	250570
121	6260	250325
122	6309	250189
123	6355	249909
124	6419	250359
125	6474	250462
126	6529	250529
127	6585	250671
128	6638	250683
129	6688	250569
130	6745	250720
131	6796	250657
132	6849	250640
133	6900	250591
134	6954	250610
135	7002	250452
136	7048	250196
137	7104	250301
138	7157	250306
139	7210	250298
140	7260	250204
141	7308	250043
142	7354	249791
143	7397	249460
144	7446	249320
145	7495	249199
146	7555	249434
147	7607	249398
148	7666	249595
149	7717	249539
150	7765	249356
151	7813	249206
152	7862	249084
153	7911	248960
154	7961	248871
155	8013	248841
156	8062	248714
157	8110	248537
158	8155	248300
159	8195	247907
160	8245	247831
161	8290	247596
162	8331	247234
163	8378	247051
164	8432	247095
165	8480	246951
166	8524	246712
167	8568	246453
168	8615	246285
169	8669	246304
170	8722	246314
171	8773	246270
172	8829	246370
173	8876	246196
174	8927	246138
175	8979	246116
176	9027	245998
177	9076	245891
178	9124	245742
179	9178	245790
180	9232	245803
181	9282	245721
182	9336	245757
183	9386	245692
184	9436	245616
185	9486	245528
186	9534	245390
187	9586	245381
188	9634	245243
189	9681	245091
190	9730	244992
191	9782	244977
192	9833	244920
193	9880	244776
194	9931	244719
195	9981	244655
196	10029	244532
197	10078	244440
198	10127	244333
199	10173	244163
200	10226	244170
201	10281	244218
202	10335	244244
203	10390	244274
204	10440	244216
205	10489	244109
206	10542	244104
207	10592	244025
208	10645	244042
209	10701	244096
210	10799	245124
211	10850	245048
212	10896	244899
213	10945	244780
214	10996	244739
215	11050	244746
216	11102	244715
217	11152	244629
218	11201	244548
219	11257	244595
220	11308	244542
221	11357	244439
222	11411	244444
223	11462	244390
224	11517	244420
225	11569	244392
226	11618	244303
227	11669	244232
228	11722	244226
229	11769	244079
230	11820	244031
231	11881	244190
232	11929	244068
233	11980	244010
234	12033	244001
235	12084	243937
236	12133	243844
237	12183	243769
238	12231	243650
239	12282	243609
240	12327	243435
241	12375	243325
242	12421	243161
243	12463	242927
244	12511	242833
245	12556	242653
246	12599	242447
247	12648	242355
248	12694	242217
249	12745	242164
250	12789	241979
251	12846	242038
252	12902	242085
253	12948	241941
254	12997	241862
255	13043	241706
256	13095	241680
257	13142	241556
258	13190	241450
259	13239	241364
260	13285	241223
261	13336	241173
262	13384	241076
263	13431	240946
264	13479	240847
265	13530	240796
266	13578	240694
267	13624	240567
268	13672	240465
269	13721	240376
270	13776	240399
271	13823	240290
272	13871	240188
273	13919	240090
274	13967	239983
275	14014	239868
276	14059	239730
277	14106	239601
278	14151	239458
279	14192	239249
280	14239	239132
281	14283	238969
282	14329	238840
283	14378	238759
284	14431	238753
285	14481	238690
286	14524	238523
287	14566	238320
288	14612	238193
289	14656	238048
290	14705	237964
291	14744	237728
292	14790	237606
293	14840	237552
294	14889	237475
295	14941	237447
296	14989	237356
297	15042	237342
298	15097	237371
299	15152	237388
300	15201	237315
301	15253	237292
302	15301	237201
303	15350	237119
304	15401	237087
305	15444	236918
306	15495	236875
307	15539	236719
308	15589	236661
309	15630	236479
310	15678	236386
311	15723	236253
312	15771	236171
313	15821	236106
314	15867	235995
315	15912	235868
316	15961	235799
317	16006	235673
318	16057	235621
319	16103	235511
320	16154	235470
321	16204	235412
322	16247	235261
323	16295	235180
324	16346	235134
325	16391	235012
326	16438	234910
327	16488	234854
328	16538	234811
329	16594	234835
330	16639	234712
331	16684	234581
332	16738	234585
333	16794	234624
334	16850	234655
335	16906	234676
336	16966	234763
337	17016	234707
338	17064	234623
339	17109	234498
340	17162	234486
341	17215	234475
342	17266	234436
343	17313	234333
344	17365	234315
345	17414	234244
346	17466	234211
347	17515	234141
348	17558	233999
349	17604	233894
350	17649	233765
351	17693	233632
352	17743	233578
353	17795	233554
354	17837	233389
355	17883	233284
356	17928	233175
357	17978	233120
358	18022	232985
359	18067	232864
360	18114	232781
361	18163	232714
362	18212	232650
363	18258	232544
364	18304	232447
365	18350	232344
366	18400	232287
367	18449	232220
368	18497	232145
369	18546	232085
370	18598	232054
371	18647	231985
372	18701	231994
373	18748	231895
374	18797	231835
375	18848	231796
376	18897	231733
377	18947	231682
378	18993	231584
379	19036	231438
380	19084	231367
381	19133	231310
382	19177	231179
383	19221	231055
384	19270	230995
385	19314	230876
386	19371	230907
387	19420	230845
388	19475	230849
389	19521	230751
390	19562	230596
391	19611	230531
392	19663	230508
393	19710	230425
394	19759	230366
395	19812	230341
396	19861	230288
397	19905	230158
398	19955	230115
399	20000	230009
400	20050	229951
401	20100	229911
402	20149	229839
403	20200	229805
404	20252	229780
405	20295	229653
406	20345	229594
407	20394	229534
408	20439	229434
409	20491	229402
410	20536	229298
411	20589	229283
412	20643	229280
413	20690	229190
414	20739	229132
415	20781	228994
416	20834	228974
417	20885	228942
418	20935	228894
419	20985	228837
420	21030	228739
421	21085	228745
422	21132	228662
423	21172	228505
424	21220	228431
425	21268	228357
426	21318	228315
427	21370	228287
428	21413	228165
429	21458	228057
430	21508	228008
431	21558	227964
432	21606	227888
433	21655	227831
434	21709	227823
435	21755	227730
436	21804	227676
437	21853	227614
438	21892	227449
439	21946	227446
