iter	RMSE
0	0.4688388279
1	0.4649219362
2	0.4610262408
3	0.4574002632
4	0.4536782161
5	0.449984936
6	0.4463809976
7	0.4428634057
8	0.4392979879
9	0.4357600225
10	0.4322226822
11	0.4287250058
12	0.4253390646
13	0.4219119486
14	0.4185526288
15	0.4152492853
16	0.4120358793
17	0.4088316141
18	0.4056473184
19	0.4023947819
20	0.3992480208
21	0.3962549984
22	0.393249867
23	0.3902202953
24	0.3872339187
25	0.3842080394
26	0.3812914152
27	0.3784350286
28	0.3754959213
29	0.3726261578
30	0.3697162384
31	0.3669681316
32	0.364141423
33	0.3614023087
34	0.3585177263
35	0.3557278553
36	0.3531965471
37	0.3505007398
38	0.3478558346
39	0.3453034712
40	0.3427479107
41	0.3402612915
42	0.3378167904
43	0.3353168766
44	0.3328860082
45	0.330474875
46	0.3279826519
47	0.3256149426
48	0.323241689
49	0.3208367863
50	0.3185785011
51	0.3162590515
52	0.3140262736
53	0.3118371506
54	0.3096274224
55	0.3074764155
56	0.3053765598
57	0.303250642
58	0.3011467184
59	0.2990285005
60	0.2969238284
61	0.2947928809
62	0.2928064485
63	0.290879099
64	0.2889197851
65	0.2870186743
66	0.2850492604
67	0.2831540196
68	0.2812758781
69	0.2793461979
70	0.2775424452
71	0.2756861919
72	0.2738631664
73	0.2720566975
74	0.2702364987
75	0.2684745739
76	0.2668004726
77	0.265100113
78	0.2633978129
79	0.2617220567
80	0.2600575621
81	0.2584200339
82	0.2568292143
83	0.2552878177
84	0.2536664533
85	0.2521038303
86	0.2505846042
87	0.2490471816
88	0.247528814
89	0.2460691985
90	0.2445638667
91	0.2431087274
92	0.2416108915
93	0.240140695
94	0.2388454398
95	0.2373388402
96	0.2359149673
97	0.2345165449
98	0.2331289241
99	0.2317916874
100	0.2304567985
101	0.2291201797
102	0.2278691505
103	0.2265000492
104	0.2252540369
105	0.2239246088
106	0.2227033802
107	0.2214430162
108	0.2202136845
109	0.2189761761
110	0.2177544566
111	0.2165445106
112	0.2153689227
113	0.2141827346
114	0.2130502375
115	0.2119756338
116	0.2109302859
117	0.2098677315
118	0.2088199493
119	0.2076545824
120	0.2065936133
121	0.2054907776
122	0.2044931637
123	0.2034059787
124	0.2023813811
125	0.2014116838
126	0.2004338683
127	0.1994153403
128	0.1983604753
129	0.1974374066
130	0.1964888953
131	0.1955200684
132	0.1946171867
133	0.19374595
134	0.1928246532
135	0.1919024425
136	0.1909427249
137	0.1901139023
138	0.1892861536
139	0.188438016
140	0.187544396
141	0.1867333859
142	0.1859459155
143	0.1851179287
144	0.1843344191
145	0.183557661
146	0.1827696501
147	0.1820283982
148	0.1812999641
149	0.1805946619
150	0.1798717176
151	0.1791436516
152	0.1784207926
153	0.1777195691
154	0.1770340023
155	0.1763490309
156	0.1756341565
157	0.174970153
158	0.1742822915
159	0.17353651
160	0.1728069194
161	0.1721207573
162	0.1714033749
163	0.1707443164
164	0.1700391768
165	0.1693869653
166	0.1687636716
167	0.1681233475
168	0.1675042895
169	0.1668921469
170	0.1662478353
171	0.1656818407
172	0.1651176628
173	0.1644712047
174	0.1638888016
175	0.1633606803
176	0.1628321151
177	0.1623276571
178	0.16179361
179	0.161285305
180	0.1607781552
181	0.1602845488
182	0.1597626916
183	0.15919258
184	0.1587172641
185	0.1581674462
186	0.1576852207
187	0.157207644
188	0.1567265393
189	0.1562189445
190	0.1557837125
191	0.1553588479
192	0.1548585142
193	0.1544141797
194	0.1540063438
195	0.1536004292
196	0.1531870236
197	0.1527116611
198	0.1522592251
199	0.1518276183
200	0.1514250908
201	0.1509810126
202	0.1505887751
203	0.1501758804
204	0.1497604478
205	0.1493138501
206	0.148941673
207	0.148581832
208	0.1482038769
209	0.1478298377
210	0.147439187
211	0.1470611069
212	0.1467291854
213	0.1463919489
214	0.1460397068
215	0.1457251844
216	0.1454097748
217	0.1450195312
218	0.1446948405
219	0.1443091983
220	0.144001552
221	0.1436589009
222	0.1433375917
223	0.1429984917
224	0.1426540676
225	0.1423220585
226	0.1419880215
227	0.1416522225
228	0.1413398335
229	0.1410719215
230	0.1407288247
231	0.1404611796
232	0.1401106887
233	0.1397776145
234	0.1394896665
235	0.1391570182
236	0.1389062708
237	0.1385829743
238	0.1383307583
239	0.1380709632
240	0.1377825744
241	0.1375439329
242	0.1372859406
243	0.1369793616
244	0.1367256658
245	0.1364639878
246	0.1361897773
247	0.1358807225
248	0.1355789327
249	0.1352896275
250	0.135075341
251	0.1348036615
252	0.1345456927
253	0.1342645434
254	0.1340419217
255	0.13383184
256	0.1335772074
257	0.1333737472
258	0.1331621062
259	0.1329495903
260	0.13274538
261	0.1324734581
262	0.1322177249
263	0.132026688
264	0.1317727132
265	0.1315130818
266	0.1312724652
267	0.131046734
268	0.1308075776
269	0.1305950295
270	0.1303611322
271	0.1301436282
272	0.1299089519
273	0.1296852347
274	0.129496933
275	0.1293193262
276	0.1290984903
277	0.1289260311
278	0.1287138265
279	0.128510495
280	0.1283434819
281	0.1281251234
282	0.1279706861
283	0.1277673868
284	0.1276037109
285	0.127393347
286	0.127188879
287	0.1270233862
288	0.1268261201
289	0.1266753584
290	0.1264689585
291	0.1262956208
292	0.1261294485
293	0.1259726089
294	0.1258115354
295	0.1256564651
296	0.1254551312
297	0.1253065658
298	0.1251438075
299	0.1249603714
300	0.1247773877
301	0.1245854515
302	0.1244407678
303	0.1242562041
304	0.1241099205
305	0.1239265447
306	0.1237511798
307	0.1236190765
308	0.1234500443
309	0.1233241703
310	0.1231951471
311	0.1230545298
312	0.1229052559
313	0.1227428379
314	0.122622638
315	0.1224853234
316	0.1223544733
317	0.1222322378
318	0.1220990804
319	0.1220006756
320	0.1218558556
321	0.1217284714
322	0.1215961897
323	0.1214417613
324	0.1212908585
325	0.1211753203
326	0.1210584883
327	0.1208935272
328	0.120757976
329	0.1206098036
330	0.1204759659
331	0.1203550736
332	0.1202285263
333	0.120119445
334	0.1200241541
335	0.1199287654
336	0.1198243962
337	0.1196813543
338	0.1195520504
339	0.1194259979
340	0.1193047272
341	0.1191666556
342	0.1190232904
343	0.1189228722
344	0.1187973031
345	0.118695298
346	0.1185629403
347	0.118449477
348	0.1183533686
349	0.1182604934
350	0.118149453
351	0.1180361144
352	0.1179061724
353	0.1177837731
354	0.1176619152
355	0.1175572971
356	0.1174638023
357	0.1173652118
358	0.117246155
359	0.1171181191
360	0.116984427
361	0.1168916423
362	0.1167857206
363	0.1166935139
364	0.1165669856
365	0.1164855339
366	0.1163725556
367	0.1162842535
368	0.1161597174
369	0.1160543438
370	0.1159701419
371	0.1158896563
372	0.115779165
373	0.1157021639
374	0.1155958935
375	0.1154890139
376	0.1154128728
377	0.115348757
378	0.1152367245
379	0.1151412726
380	0.1150771838
381	0.1149703692
382	0.1148876079
383	0.1148142358
384	0.1147250607
385	0.1146431188
386	0.1145201619
387	0.1144152128
388	0.1143108666
389	0.1142226019
390	0.1141276724
391	0.1140657154
392	0.113963863
393	0.1138853106
394	0.1138197173
395	0.1137381875
396	0.1136704788
397	0.1135728509
398	0.1134938248
399	0.1134188213
400	0.113336881
401	0.1132376051
402	0.1131454053
403	0.1130803577
404	0.1129851986
405	0.1128911148
406	0.1128294313
407	0.1127441476
408	0.1126488469
409	0.1125691929
410	0.1124635487
411	0.112381426
412	0.1123024658
413	0.1122202238
414	0.112160471
415	0.1121003673
416	0.1120214196
417	0.1119574146
418	0.1118745668
419	0.1118208126
420	0.1117503119
421	0.1116715008
422	0.111587872
423	0.1115172656
424	0.1114473317
425	0.1114008336
426	0.1113384519
427	0.1112672848
428	0.111194799
429	0.1111513386
430	0.1110747825
431	0.1110149115
432	0.1109559968
433	0.1108936987
434	0.1108451927
435	0.1107672878
436	0.1107116533
437	0.1106392261
438	0.1105591117
439	0.1104848217
440	0.1104354262
441	0.1103339529
442	0.1102841576
443	0.1102270308
444	0.1101650382
445	0.1100789699
446	0.110014808
447	0.1099321809
448	0.1098624936
449	0.1097857064
450	0.1097190123
451	0.1096310824
452	0.1095292582
453	0.1094799157
454	0.1094119255
455	0.1093515021
456	0.1093158673
457	0.1092651597
458	0.1092230735
459	0.1091523746
460	0.109082615
461	0.1090165189
462	0.1089555723
463	0.1089098996
464	0.1088551656
465	0.1087976471
466	0.1087429913
467	0.1086802353
468	0.1086324401
469	0.1085913673
470	0.1085293151
471	0.1084538928
472	0.1084071897
473	0.1083406096
474	0.1082866186
475	0.1082067129
476	0.1081612865
477	0.1081280407
478	0.1080867939
479	0.1080414932
480	0.1079866627
481	0.1079376741
482	0.1078835941
483	0.107825189
484	0.107763688
485	0.1077029615
486	0.1076462586
487	0.1075919566
488	0.1075237406
489	0.1074798623
490	0.1074078278
491	0.1073417215
492	0.1072746034
493	0.1072288362
494	0.1071644743
495	0.1071239681
496	0.1070495446
497	0.1069850437
498	0.106925018
499	0.1068700611
500	0.1068169851
501	0.1067709191
502	0.1067379194
503	0.1066958442
504	0.1066364013
505	0.1065854745
506	0.1065174476
507	0.1064621442
508	0.1063978574
509	0.1063383725
510	0.1063050145
511	0.1062585738
512	0.1062180424
513	0.1061647732
514	0.1061326239
515	0.1060717584
516	0.1060285548
517	0.1059718783
518	0.1059342352
519	0.1058947315
520	0.1058231572
521	0.1057740505
522	0.1057454449
523	0.1056877416
524	0.105628989
525	0.1055912174
526	0.1055394631
527	0.1054707107
528	0.1054484672
529	0.105399317
530	0.1053557557
531	0.1052955853
532	0.1052385085
533	0.1051894427
534	0.1051404212
535	0.105086855
536	0.1050433286
537	0.1049937075
538	0.104942593
539	0.1048951054
540	0.1048405771
541	0.104791384
542	0.1047340952
543	0.1046950732
544	0.1046594519
545	0.10462873
546	0.1045642539
547	0.1045162581
548	0.1044604668
549	0.1044041641
550	0.1043680324
551	0.1043038585
552	0.1042436708
553	0.1042066055
554	0.104142918
555	0.1040943587
556	0.1040527882
557	0.1040108489
558	0.1039801932
559	0.1039433245
560	0.1039120455
561	0.1038684043
562	0.1038407615
563	0.1038045645
564	0.1037536889
565	0.103693386
566	0.1036483484
567	0.1035992401
568	0.1035551903
569	0.1035041968
570	0.103453732
571	0.1034056084
572	0.1033788874
573	0.1033491583
574	0.1033143088
575	0.1032769297
576	0.1032443149
577	0.103199732
578	0.1031628191
579	0.1031105126
580	0.1030826262
581	0.1030513192
582	0.1030056376
583	0.1029578292
584	0.1029132432
585	0.10286724
586	0.1028193187
587	0.1027770114
588	0.1027405135
589	0.102693087
590	0.1026566826
591	0.102616226
592	0.1025657342
593	0.1025357191
594	0.1024946325
595	0.1024785345
596	0.1024435979
597	0.1024255297
598	0.1024030376
599	0.1023716883
600	0.1023345896
601	0.1022850011
602	0.1022426019
603	0.102215968
604	0.1021758282
605	0.1021435692
606	0.1021158952
607	0.1020873754
608	0.1020402425
609	0.1019988575
610	0.1019696257
611	0.101926797
612	0.1018968454
613	0.1018510574
614	0.1018229615
615	0.1017818855
616	0.1017540034
617	0.1017190178
618	0.1016745371
619	0.1016301752
620	0.1015890204
621	0.1015494712
622	0.1015047049
623	0.1014648256
624	0.1014340282
625	0.1013915113
626	0.1013646851
627	0.1013324651
628	0.101299346
629	0.1012734747
630	0.1012542307
631	0.1012325825
632	0.1012045018
633	0.1011592437
634	0.1011297869
635	0.1010949933
636	0.1010563325
637	0.1010236938
638	0.1009977756
639	0.1009790652
640	0.1009509448
641	0.1009095819
642	0.1008791536
643	0.1008349022
644	0.1008080897
645	0.1007730674
646	0.1007406348
647	0.1007099562
648	0.100672624
649	0.1006410407
650	0.1006083358
651	0.1005871305
652	0.1005503562
653	0.1005306336
654	0.1005044068
655	0.1004659257
656	0.100443261
657	0.1004068753
658	0.100374449
659	0.1003496195
660	0.1003132339
661	0.1002829576
662	0.1002516252
663	0.1002249739
664	0.1002016204
665	0.1001737673
666	0.1001376559
667	0.1001047926
668	0.1000732345
669	0.100051328
670	0.1000282397
671	0.09999747258
672	0.09996045226
673	0.09992496353
674	0.09990022721
675	0.09988414726
676	0.09986176993
677	0.09982445119
678	0.09979402926
679	0.09976470477
680	0.09973129616
681	0.09969646819
682	0.09966542849
683	0.09964414689
684	0.0996100431
685	0.09957832155
686	0.09956076067
687	0.09953447219
688	0.09950408798
689	0.0994749712
690	0.09944664546
691	0.09941358851
692	0.09939052415
693	0.09936705144
694	0.09933133471
695	0.09930265688
696	0.09927841813
697	0.09925236973
698	0.09922350871
699	0.0991960609
700	0.09917036114
701	0.09914009365
702	0.0991120797
703	0.09908613977
704	0.09906114046
705	0.09903646336
706	0.09902411668
707	0.09900495879
708	0.09897717676
709	0.09894809624
710	0.09892827864
711	0.09890492039
712	0.09888659383
713	0.09886737452
714	0.09885676149
715	0.09883135403
716	0.09881275016
717	0.09879061175
718	0.09876008064
719	0.09873504059
720	0.09870743854
721	0.0986828544
722	0.09865724921
723	0.09864135098
724	0.09860985081
725	0.09857940092
726	0.09854774488
727	0.09852058436
728	0.09849649591
729	0.09847829236
730	0.09844837315
731	0.09842182532
732	0.09839631772
733	0.09837552154
734	0.09835560621
735	0.09833739249
736	0.09831308836
737	0.09828343175
738	0.09826538525
739	0.09824630814
740	0.09822649539
741	0.09821685408
742	0.09819779523
743	0.09816936937
744	0.09815596796
745	0.09813598926
746	0.09811267817
747	0.0980869602
748	0.09807390084
749	0.09804993104
750	0.09802529664
751	0.09800183973
752	0.09798514724
753	0.0979691777
754	0.09794935557
755	0.0979322061
756	0.09790702276
757	0.0978811764
758	0.09785690613
759	0.09784310074
760	0.09783100019
761	0.09781533234
762	0.09779469949
763	0.09776883899
764	0.09774386732
765	0.0977273984
766	0.09771645596
767	0.0977033767
768	0.09768660517
769	0.0976742393
770	0.09765672606
771	0.0976328404
772	0.09761061892
773	0.09759312595
774	0.09757013589
775	0.09754287361
776	0.09752103871
777	0.09751215861
778	0.09749115211
779	0.09747286036
780	0.09745388881
781	0.09743202333
782	0.09742109346
783	0.09739282743
784	0.09737163711
785	0.09735196459
786	0.09732366821
787	0.09730178084
788	0.0972842756
789	0.09726491133
790	0.09724406091
791	0.09722796733
792	0.09721046969
793	0.09719039422
794	0.09716548269
