iter	RMSE
0	0.4686538718
1	0.4648393244
2	0.4610295179
3	0.4572044318
4	0.4534050195
5	0.4498138628
6	0.4461158504
7	0.4424695283
8	0.4389015269
9	0.4354083659
10	0.4319730167
11	0.4284497608
12	0.4249785477
13	0.4216308069
14	0.4182815311
15	0.4150680554
16	0.4117616509
17	0.4084230434
18	0.4052108977
19	0.4019802541
20	0.398751141
21	0.3956047693
22	0.3925732386
23	0.3895917489
24	0.386556808
25	0.3835610396
26	0.3806077305
27	0.3777028023
28	0.374830961
29	0.3719697751
30	0.3690775244
31	0.3662148971
32	0.3634525772
33	0.360665389
34	0.3579752727
35	0.3552837168
36	0.3526387805
37	0.3500618338
38	0.3474384484
39	0.3449011042
40	0.3422754293
41	0.3397311329
42	0.3372496878
43	0.3348079971
44	0.3324600843
45	0.3300216506
46	0.3276566733
47	0.3253204977
48	0.3229976414
49	0.3206369797
50	0.3183709094
51	0.3160724082
52	0.3138849093
53	0.3116307905
54	0.3094100727
55	0.3073096144
56	0.3051572996
57	0.302999535
58	0.3009629832
59	0.2988757605
60	0.2968467925
61	0.2948667575
62	0.2928399022
63	0.2908508331
64	0.2889624447
65	0.2868904866
66	0.2849890798
67	0.2830274652
68	0.2811104477
69	0.2791988084
70	0.2773840506
71	0.2756288207
72	0.2737946076
73	0.2720158013
74	0.2702173109
75	0.2684737658
76	0.2668693546
77	0.2650507231
78	0.2633358502
79	0.2616965996
80	0.2600488535
81	0.25844618
82	0.2568069444
83	0.2553021978
84	0.2537692065
85	0.2521125764
86	0.2505155649
87	0.2489815313
88	0.2474041191
89	0.2459138417
90	0.2444257165
91	0.242990637
92	0.2415755635
93	0.2400785589
94	0.238598671
95	0.2371305314
96	0.2358141226
97	0.234476771
98	0.2330509382
99	0.2317171754
100	0.2304032181
101	0.2291217175
102	0.2277763989
103	0.2265971714
104	0.2254040301
105	0.224144919
106	0.2228139576
107	0.221659738
108	0.2204506659
109	0.2192458318
110	0.2180334605
111	0.2168399261
112	0.2156276977
113	0.2144400894
114	0.213247085
115	0.2119984763
116	0.2109551884
117	0.2098412072
118	0.2087692505
119	0.2077340056
120	0.2065854739
121	0.2055517531
122	0.2045226861
123	0.2035130699
124	0.2024716941
125	0.2015259681
126	0.2005417171
127	0.19955829
128	0.1986849133
129	0.1976743498
130	0.1966477368
131	0.1956799072
132	0.1947751438
133	0.1938496605
134	0.1928850222
135	0.1920039115
136	0.1911608888
137	0.1901978987
138	0.1893323873
139	0.1884315859
140	0.187529462
141	0.1866487862
142	0.1858162314
143	0.1849510787
144	0.1841676073
145	0.1833153144
146	0.1824730361
147	0.1816537462
148	0.180919403
149	0.1801717154
150	0.1794269941
151	0.1786759278
152	0.1779838542
153	0.1772337922
154	0.1765384624
155	0.175808955
156	0.1751188917
157	0.1744457998
158	0.1737620462
159	0.1731237815
160	0.1723930741
161	0.1717591653
162	0.1710444102
163	0.1704087277
164	0.1697812035
165	0.1692075385
166	0.168563531
167	0.1679487284
168	0.167312975
169	0.1667798315
170	0.1661652385
171	0.1655313296
172	0.1649980525
173	0.1644262638
174	0.1638965555
175	0.1632778022
176	0.1627616562
177	0.1621771954
178	0.1615729402
179	0.1610426459
180	0.1604911121
181	0.1599892205
182	0.1594722971
183	0.159002908
184	0.1584686372
185	0.1578943017
186	0.1573469365
187	0.1568377521
188	0.1563084366
189	0.155855561
190	0.1554257031
191	0.1549019605
192	0.1544315931
193	0.1540191228
194	0.1535367262
195	0.1531092028
196	0.1527069594
197	0.1522228177
198	0.151748411
199	0.1512805374
200	0.1508936999
201	0.150446003
202	0.1500361959
203	0.1496675726
204	0.1493130256
205	0.1488958966
206	0.1485187887
207	0.1481405037
208	0.1477341101
209	0.1473288892
210	0.1469891401
211	0.1465784545
212	0.1462490285
213	0.1458501892
214	0.1454930525
215	0.1451369966
216	0.1447840186
217	0.1444551927
218	0.1441313287
219	0.1438189074
220	0.1434836431
221	0.1431410585
222	0.1428290577
223	0.1424740484
224	0.142132384
225	0.1417801559
226	0.1415159216
227	0.1412470882
228	0.1409790652
229	0.140650811
230	0.1403004926
231	0.1400144463
232	0.1397063877
233	0.1393954179
