iter	Passed	Remaining
0	37	185232
1	72	181403
2	100	167788
3	126	158570
4	155	155577
5	186	155122
6	213	151989
7	240	150066
8	265	147116
9	289	144635
10	318	144478
11	357	148792
12	387	148736
13	424	151022
14	449	149392
15	481	149944
16	515	151129
17	541	149811
18	574	150686
19	608	151513
20	641	152097
21	673	152495
22	704	152457
23	733	152104
24	766	152600
25	789	150991
26	815	150261
27	843	149774
28	873	149667
29	907	150335
30	944	151384
31	977	151782
32	1026	154514
33	1052	153783
34	1081	153363
35	1118	154176
36	1154	154893
37	1186	154914
38	1215	154629
39	1254	155584
40	1289	155908
41	1320	155843
42	1351	155804
43	1379	155361
44	1410	155286
45	1436	154663
46	1464	154350
47	1491	153848
48	1521	153687
49	1545	153014
50	1568	152252
51	1588	151166
52	1616	150927
53	1647	150877
54	1677	150792
55	1708	150799
56	1730	150109
57	1754	149481
58	1782	149251
59	1814	149358
60	1845	149405
61	1867	148727
62	1891	148215
63	1914	147626
64	1942	147447
65	1970	147287
66	1996	147012
67	2028	147132
68	2054	146814
69	2083	146720
70	2111	146561
71	2135	146139
72	2153	145380
73	2172	144610
74	2198	144370
75	2220	143895
76	2242	143376
77	2275	143562
78	2306	143690
79	2330	143297
80	2359	143273
81	2385	143044
82	2406	142554
83	2435	142557
84	2460	142275
85	2483	141913
86	2506	141566
87	2532	141379
88	2555	141006
89	2584	140992
90	2611	140884
91	2638	140775
92	2667	140736
93	2687	140255
94	2716	140260
95	2743	140124
96	2764	139712
97	2788	139484
98	2817	139468
99	2845	139409
100	2869	139206
101	2905	139543
102	2934	139525
103	2957	139241
104	2984	139155
105	3010	138986
106	3032	138684
107	3060	138645
108	3082	138299
109	3108	138167
110	3141	138376
111	3169	138305
112	3199	138390
113	3224	138222
114	3253	138209
115	3279	138085
116	3305	137964
117	3330	137801
118	3350	137407
119	3381	137496
120	3409	137494
121	3443	137703
122	3470	137598
123	3494	137396
124	3519	137258
125	3548	137278
126	3580	137393
127	3601	137099
128	3630	137096
129	3650	136755
130	3678	136739
131	3702	136533
132	3732	136592
133	3752	136279
134	3772	135932
135	3794	135705
136	3822	135690
137	3844	135455
138	3869	135329
139	3895	135241
140	3930	135438
141	3953	135243
142	3972	134926
143	4004	135031
144	4030	134935
145	4054	134814
146	4086	134921
